airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,12677
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,18371
Multiple Carriers,2019-06-15,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1.0,No Info,14714
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,8820
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Spicejet,2019-03-27,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4414
Indigo,2019-04-09,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4488
Air India,2019-05-18,Kolkata,Banglore,08:20:00,18:30:00,610,2.0,No Info,10907
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,In-flight meal not included,9134
Indigo,2019-04-15,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Indigo,2019-03-06,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No Info,7094
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,12692
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,7060
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,12373
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,In-flight meal not included,7832
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Indigo,2019-04-27,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,4591
Air India,2019-03-01,Banglore,New Delhi,17:00:00,08:50:00,950,1.0,1 Long layover,10981
Multiple Carriers,2019-05-15,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,16840
Indigo,2019-04-09,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6270
Indigo,2019-03-15,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,6144
Jet Airways,2019-05-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Spicejet,2019-06-03,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3971
Indigo,2019-04-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Indigo,2019-04-21,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5644
Air India,2019-05-21,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No Info,14687
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No Info,26890
Jet Airways,2019-05-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Multiple Carriers,2019-06-06,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,7038
Air India,2019-04-15,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5228
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Air India,2019-03-03,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No Info,8588
Jet Airways,2019-06-03,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Indigo,2019-04-24,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3480
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,09:00:00,965,1.0,No Info,17261
Jet Airways,2019-04-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,5177
Indigo,2019-06-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Multiple Carriers,2019-05-18,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8309
Spicejet,2019-04-24,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-05-21,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No Info,20694
Multiple Carriers,2019-05-15,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,8073
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,15129
Air India,2019-05-09,Kolkata,Banglore,07:00:00,20:25:00,805,1.0,No Info,10203
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,15428
Air India,2019-03-27,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,8971
Air India,2019-03-09,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,9586
Indigo,2019-06-27,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,14151
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13941
Goair,2019-06-03,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,9069
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Indigo,2019-03-03,Delhi,Cochin,20:30:00,01:35:00,305,1.0,No Info,8258
Spicejet,2019-06-15,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,7851
Air India,2019-06-15,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7384
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,No Info,14714
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No check-in baggage included,3873
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,21:20:00,935,1.0,No Info,13817
Multiple Carriers,2019-06-03,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,12717
Indigo,2019-05-06,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,9345
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,14388
Indigo,2019-06-12,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,15:30:00,570,1.0,No Info,7845
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
Indigo,2019-06-06,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Spicejet,2019-03-24,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,2175
Air Asia,2019-04-01,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2227
Spicejet,2019-06-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Multiple Carriers,2019-05-21,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Goair,2019-06-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Indigo,2019-06-03,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6493
Jet Airways,2019-06-06,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Air Asia,2019-03-27,Delhi,Cochin,07:55:00,13:10:00,315,1.0,No Info,6151
Air India,2019-05-09,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,10991
Multiple Carriers,2019-05-09,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,8888
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Vistara,2019-03-15,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6111
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,9555
Air India,2019-05-21,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,12303
Indigo,2019-05-09,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6979
Jet Airways,2019-05-03,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Goair,2019-05-09,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,6095
Jet Airways,2019-06-09,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10577
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Air Asia,2019-03-09,Delhi,Cochin,20:10:00,07:10:00,660,1.0,No Info,8327
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Air India,2019-06-12,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8991
Multiple Carriers,2019-03-03,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,17073
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,04:25:00,865,1.0,No Info,14714
Indigo,2019-05-15,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Indigo,2019-06-21,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Indigo,2019-04-12,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4990
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,22:35:00,1660,1.0,In-flight meal not included,8529
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9646
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,In-flight meal not included,8834
Goair,2019-04-06,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Multiple Carriers,2019-05-27,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7618
Indigo,2019-05-18,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6496
Indigo,2019-03-21,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,6790
Jet Airways,2019-04-09,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,11822
Vistara,2019-06-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,05:05:00,900,1.0,In-flight meal not included,13502
Jet Airways,2019-06-24,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,14300
Air India,2019-06-12,Kolkata,Banglore,07:00:00,16:15:00,555,1.0,No Info,11936
Indigo,2019-04-06,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-03,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,11789
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,12681
Indigo,2019-03-06,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,13790
Multiple Carriers,2019-03-03,Delhi,Cochin,08:55:00,21:00:00,725,1.0,No Info,15147
Air India,2019-04-12,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Jet Airways,2019-03-21,Delhi,Cochin,22:00:00,18:50:00,1250,1.0,In-flight meal not included,6017
Indigo,2019-06-09,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No Info,5380
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Air India,2019-03-06,Banglore,New Delhi,06:45:00,12:15:00,330,1.0,No Info,13912
Multiple Carriers,2019-05-27,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7198
Indigo,2019-04-06,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No Info,14781
Goair,2019-05-15,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,10188
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12373
Air India,2019-05-27,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Indigo,2019-05-09,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No Info,5386
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Indigo,2019-05-18,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,12557
Air India,2019-03-01,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,11213
Jet Airways,2019-06-24,Delhi,Cochin,09:25:00,12:35:00,1630,2.0,No Info,13882
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,10844
Spicejet,2019-06-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,11789
Indigo,2019-03-27,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,8574
Jet Airways,2019-05-01,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Vistara,2019-05-01,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Air India,2019-06-09,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,No Info,14231
Indigo,2019-06-06,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,In-flight meal not included,14053
Multiple Carriers,2019-03-09,Delhi,Cochin,06:40:00,19:45:00,785,1.0,No Info,12615
Jet Airways,2019-06-15,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,8529
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,09:15:00,1160,1.0,In-flight meal not included,11134
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Indigo,2019-03-09,Delhi,Cochin,21:05:00,01:45:00,280,1.0,No Info,6937
Jet Airways,2019-03-21,Banglore,New Delhi,09:45:00,15:55:00,370,1.0,In-flight meal not included,7280
Air India,2019-05-01,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7452
Indigo,2019-05-27,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,15:55:00,420,2.0,In-flight meal not included,11245
Jet Airways,2019-05-18,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1.0,No Info,12242
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,09:15:00,980,1.0,No Info,14231
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,22:55:00,920,1.0,No Info,6785
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,10406
Jet Airways,2019-03-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,12242
Air India,2019-03-09,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,10321
Spicejet,2019-06-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Indigo,2019-06-01,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6416
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,13067
Multiple Carriers,2019-06-12,Delhi,Cochin,13:05:00,22:30:00,565,1.0,No Info,9646
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,16079
Spicejet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,4439
Indigo,2019-03-27,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,7731
Air India,2019-05-18,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Jet Airways,2019-04-09,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,10909
Goair,2019-05-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Indigo,2019-03-27,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,4148
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,In-flight meal not included,11087
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,In-flight meal not included,11087
Air India,2019-05-24,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13873
Jet Airways,2019-06-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,14067
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,No Info,14714
Indigo,2019-06-24,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,In-flight meal not included,8586
Air India,2019-06-03,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13381
Air India,2019-06-18,Delhi,Cochin,14:05:00,17:55:00,230,0.0,No Info,5201
Air India,2019-06-06,Kolkata,Banglore,10:00:00,20:25:00,625,1.0,No Info,10203
Air Asia,2019-03-12,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,4384
Multiple Carriers,2019-05-15,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Air India,2019-05-24,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No Info,7662
Multiple Carriers,2019-03-27,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,6637
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,8610
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Jet Airways,2019-05-15,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,3210
Spicejet,2019-05-18,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,6297
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Spicejet,2019-03-12,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,6300
Air Asia,2019-04-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Indigo,2019-03-06,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4778
Air India,2019-04-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-03-12,Mumbai,Hyderabad,09:40:00,15:15:00,1775,3.0,No Info,18293
Jet Airways,2019-03-03,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,17234
Goair,2019-04-01,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,5171
Spicejet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Spicejet,2019-06-27,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Spicejet,2019-03-21,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,1759
Indigo,2019-05-18,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,23:00:00,900,1.0,In-flight meal not included,7832
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Air India,2019-05-21,Kolkata,Banglore,07:00:00,20:25:00,805,1.0,No Info,11096
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,14714
Jet Airways,2019-06-24,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
